Year,Region,Disaster Type,Severity Score,Claim Frequency,Claim Amount (USD)
2023,Asia-Pacific,Earthquake,8.1,733,53192867.15
2018,Asia-Pacific,Earthquake,7.5,980,106675463.59
2018,Europe,Hurricane/Storm,5.2,2466,158823613.64
2023,Latin America,Flood,4.8,366,5959315.85
2020,North America,Flood,4.0,1122,42158976.57
2019,Europe,Flood,5.2,779,29695092.31
2019,Europe,Hurricane/Storm,8.7,2113,142574389.12
2019,Asia-Pacific,Wildfire,5.8,108,7356891.58
2023,Asia-Pacific,Tornado,7.7,46,840884.24
2018,Asia-Pacific,Hurricane/Storm,8.3,2386,89037491.82
2023,North America,Hurricane/Storm,7.8,2430,88293494.96
2023,Asia-Pacific,Earthquake,8.1,542,66911738.64
2022,Asia-Pacific,Flood,4.9,1378,46142216.0
2018,North America,Hurricane/Storm,8.3,1680,37655352.65
2022,Asia-Pacific,Earthquake,8.3,384,26169183.25
2021,Asia-Pacific,Hurricane/Storm,7.0,686,33065627.86
2018,Europe,Flood,4.4,529,12268645.52
2018,Asia-Pacific,Flood,7.8,1326,15206415.79
2018,North America,Flood,4.5,1027,45800526.79
2019,Asia-Pacific,Flood,7.5,1146,30403268.65
2019,North America,Earthquake,8.6,740,69711030.72
2022,North America,Flood,4.5,789,21716943.96
2022,Asia-Pacific,Flood,7.9,1446,60692306.33
2018,Asia-Pacific,Flood,4.1,1035,14208860.93
2022,Middle East & Africa,Tornado,6.1,70,3543682.3
2019,North America,Tornado,5.3,149,5639943.36
2023,Europe,Earthquake,7.6,248,21912933.13
2023,Latin America,Hurricane/Storm,8.5,2269,54883944.24
2023,Asia-Pacific,Wildfire,6.4,453,29690361.7
2022,Asia-Pacific,Flood,5.2,1402,46542103.37
2021,Asia-Pacific,Wildfire,6.8,297,16085126.75
2019,Asia-Pacific,Hurricane/Storm,6.8,1159,83652101.05
2021,Middle East & Africa,Flood,5.5,1041,12227473.53
2022,Asia-Pacific,Hurricane/Storm,8.2,1290,102303243.75
2020,Asia-Pacific,Hurricane/Storm,5.6,2475,54997412.28
2018,Asia-Pacific,Hurricane/Storm,8.5,2290,161908416.74
2019,North America,Tornado,4.1,83,3116552.4
2023,Asia-Pacific,Flood,5.9,742,17468497.43
2021,Asia-Pacific,Hurricane/Storm,8.4,2245,135735954.6
2020,Asia-Pacific,Tornado,6.8,259,16312096.08
2020,North America,Flood,6.5,788,39318865.09
2019,Asia-Pacific,Earthquake,6.3,748,90051034.03
2019,North America,Flood,5.2,259,3066466.44
2020,Asia-Pacific,Flood,5.5,498,9844412.85
2018,Europe,Hurricane/Storm,5.7,858,21225290.69
2018,Latin America,Hurricane/Storm,6.0,2369,130269954.55
2021,North America,Hurricane/Storm,6.8,1865,38351572.58
2018,Asia-Pacific,Tornado,7.0,90,1715616.41
2020,Latin America,Tornado,5.3,227,12023564.2
2020,Europe,Flood,8.0,1189,16962429.4
2022,Europe,Earthquake,7.0,816,64890829.52
2020,Middle East & Africa,Hurricane/Storm,6.1,1659,119288808.77
2018,Asia-Pacific,Tornado,8.1,264,16052820.82
2023,Latin America,Hurricane/Storm,5.9,2142,88120289.24
2021,Asia-Pacific,Hurricane/Storm,7.7,1976,130511335.02
2022,Asia-Pacific,Flood,4.4,1485,53242632.17
2018,Europe,Earthquake,8.0,849,53606862.37
2021,Latin America,Flood,5.7,611,9339985.46
2018,Asia-Pacific,Tornado,6.4,149,9040723.12
2022,North America,Wildfire,6.9,462,23404874.47
2020,Latin America,Wildfire,6.9,88,3507063.21
2023,Middle East & Africa,Wildfire,7.9,253,24720347.22
2022,Asia-Pacific,Earthquake,8.8,114,8714827.79
2020,North America,Earthquake,8.6,368,39911811.37
2022,Asia-Pacific,Tornado,4.5,129,5280128.38
2019,Asia-Pacific,Tornado,5.5,123,6226368.36
2023,Asia-Pacific,Earthquake,8.5,764,69393803.38
2018,North America,Tornado,5.4,262,5603296.13
2018,North America,Hurricane/Storm,6.6,1259,75828528.97
2023,Asia-Pacific,Tornado,5.9,89,5669100.47
2019,Asia-Pacific,Wildfire,7.5,193,6231997.04
2020,Europe,Earthquake,9.3,975,84111888.78
2018,Middle East & Africa,Earthquake,9.2,760,65259211.93
