Year,Region,Latitude,Longitude,Disaster Type,Severity Score,Claim Frequency,Claim Amount (USD),Risk Score,Risk Category
2020,Canada,54.4007,-106.2358,Hurricane/Typhoon,9.0,2569,105894329.97,72.3,High
2011,Italy,40.0441,12.1075,Earthquake,8.6,415,72468296.81,45.8,Medium
2010,Australia,-24.3382,134.283,Wildfire,8.3,390,23142081.8,39.4,Low
2021,India,19.9442,79.5312,Tornado,7.1,366,17828544.53,33.8,Low
2014,Japan,34.7394,139.1142,Drought,3.1,512,5568576.26,18.1,Low
2013,Japan,34.3676,139.9835,Hurricane/Typhoon,9.0,2524,172651660.82,78.5,High
2013,USA,37.6776,-96.5656,Tornado,4.2,345,13770841.01,21.6,Low
2012,USA,36.5621,-94.1521,Wildfire,9.0,445,32810990.97,43.7,Medium
2021,Japan,36.9683,137.7194,Wildfire,6.2,134,13520022.82,27.5,Low
2011,USA,37.4998,-94.4206,Hurricane/Typhoon,6.3,627,37416346.84,35.2,Low
2020,Australia,-25.4863,134.6407,Flood,6.0,2031,34336050.11,47.7,Medium
2021,Italy,41.2802,14.5526,Earthquake,9.4,108,9612533.5,39.6,Low
2018,China,35.3132,105.3944,Wildfire,9.3,196,21443742.93,41.3,Medium
2011,China,35.6127,102.6949,Flood,6.9,1683,54240478.11,49.9,Medium
2019,Brazil,-13.8096,-51.2038,Drought,4.5,257,5519957.94,21.1,Low
2016,Brazil,-14.6379,-51.3218,Flood,4.5,962,36033613.04,31.2,Low
2010,India,20.8367,78.0071,Earthquake,7.6,676,77245996.32,44.9,Medium
2010,Italy,41.8348,11.0505,Tornado,6.0,375,17515001.84,29.5,Low
2011,USA,37.8177,-94.3279,Earthquake,7.2,116,16935960.29,31.7,Low
2013,Australia,-26.0702,132.4,Wildfire,8.2,228,24067394.29,37.5,Low
2013,Germany,49.6454,9.2539,Flood,7.6,307,9590785.49,34.4,Low
2018,Brazil,-14.3604,-49.988,Flood,8.0,469,13562580.59,38.0,Low
2019,Canada,57.0055,-106.2372,Wildfire,8.7,125,7346609.34,36.8,Low
2010,Australia,-26.9733,133.6333,Hurricane/Typhoon,5.5,2558,200515572.28,67.6,Medium
2018,Japan,38.0651,137.9805,Drought,3.2,354,7208163.1,17.1,Low
2013,Australia,-26.6221,135.509,Flood,8.3,2325,128506624.05,69.3,Medium
2021,Mexico,22.6324,-102.0098,Hurricane/Typhoon,5.5,1540,118373172.92,49.2,Medium
2020,USA,37.6539,-95.3428,Hurricane/Typhoon,5.7,2857,237810869.17,75.2,High
2021,China,37.2301,104.4445,Tornado,4.1,33,2538122.77,17.0,Low
2018,UK,54.4286,-4.5868,Hurricane/Typhoon,7.5,424,29630088.25,37.2,Low
2016,China,35.0187,106.0166,Hurricane/Typhoon,8.2,1963,113551761.38,63.8,Medium
2013,USA,35.3297,-95.9516,Hurricane/Typhoon,5.8,2784,135358418.17,64.6,Medium
2017,Mexico,22.9073,-100.5979,Earthquake,7.4,429,60831177.3,40.0,Medium
2019,USA,36.057,-97.2199,Hurricane/Typhoon,5.6,507,29108249.19,30.4,Low
2014,India,21.0515,77.9531,Tornado,4.7,177,13456441.3,21.9,Low
2022,Philippines,11.6293,120.4074,Drought,4.9,731,14581553.39,28.4,Low
2023,USA,36.663,-95.8811,Flood,6.6,399,6892452.97,31.1,Low
2010,Germany,52.6894,11.067,Hurricane/Typhoon,7.1,740,48733192.96,40.7,Medium
2022,Italy,42.78,13.6154,Earthquake,7.4,633,93315609.08,45.3,Medium
2022,India,19.7444,78.5054,Hurricane/Typhoon,7.2,2852,230509815.3,80.4,High
2012,USA,38.9903,-96.1344,Wildfire,6.5,424,43607366.31,34.6,Low
2021,Japan,36.2365,138.2503,Flood,4.6,1564,80043116.89,42.0,Medium
2016,Germany,49.7558,12.0225,Flood,8.2,1504,33558138.46,51.2,Medium
2015,Canada,57.0873,-107.1431,Earthquake,8.9,595,82575050.96,49.8,Medium
2014,Brazil,-14.3304,-53.8535,Earthquake,6.4,476,71421066.34,37.5,Low
2012,UK,56.2713,-2.6778,Flood,6.1,1132,53728121.72,41.1,Medium
2013,China,34.542,104.7061,Hurricane/Typhoon,8.4,905,80816208.11,50.7,Medium
2022,Japan,36.4903,139.0521,Flood,6.0,1915,41774588.67,47.3,Medium
2015,Philippines,12.5115,122.8699,Drought,6.5,227,5474219.55,28.8,Low
2011,Germany,51.4035,12.4425,Hurricane/Typhoon,6.5,1009,68188030.23,42.9,Medium
2011,Brazil,-14.0449,-51.2165,Tornado,7.1,364,13053670.08,33.3,Low
2016,Germany,52.9893,9.566,Earthquake,9.3,354,61079482.95,46.8,Medium
2011,Philippines,13.631,121.726,Hurricane/Typhoon,7.2,1420,81319654.79,51.1,Medium
2015,Brazil,-14.0572,-50.337,Earthquake,7.2,199,22856009.33,33.1,Low
2023,Australia,-24.4134,133.1555,Hurricane/Typhoon,6.0,2262,119522289.59,58.6,Medium
2015,Mexico,22.7145,-102.3019,Earthquake,6.4,650,70664001.14,39.2,Low
2019,USA,38.7107,-96.8073,Flood,4.5,1552,73380286.65,40.9,Medium
2014,USA,38.1731,-97.6893,Hurricane/Typhoon,8.7,1966,155655234.42,70.0,High
2022,Italy,41.7728,13.1622,Wildfire,6.3,342,32562796.15,31.9,Low
2010,Italy,40.2278,12.8565,Hurricane/Typhoon,7.9,452,42846790.16,40.4,Medium
2021,Japan,37.729,136.9532,Drought,7.0,913,23518161.1,39.5,Low
2017,Japan,37.196,139.7392,Earthquake,6.1,355,52595175.61,33.2,Low
2018,USA,39.022,-96.5718,Drought,5.2,1111,30869356.39,35.0,Low
2011,USA,37.1069,-96.6187,Tornado,5.5,384,18253389.41,27.7,Low
2016,Japan,34.9448,139.1965,Wildfire,7.6,247,15384307.06,34.4,Low
2011,Mexico,25.2182,-101.242,Hurricane/Typhoon,5.3,690,35249941.72,31.6,Low
2018,USA,36.3844,-96.7178,Earthquake,6.8,323,62818389.73,36.7,Low
2014,Australia,-24.3785,131.8157,Wildfire,8.1,113,10932188.17,34.6,Low
2023,India,19.2289,79.7043,Drought,6.6,736,17521074.36,35.5,Low
2020,China,37.6225,103.6602,Flood,8.3,2158,47245850.19,59.5,Medium
2019,Philippines,13.293,121.4334,Hurricane/Typhoon,6.9,2501,220387368.47,74.6,High
2023,Mexico,24.6774,-101.8286,Hurricane/Typhoon,8.1,2452,163805562.45,73.3,High
2015,Philippines,11.1824,122.0267,Flood,6.5,2270,54700314.97,54.2,Medium
2019,Brazil,-15.5719,-50.5021,Hurricane/Typhoon,7.7,2688,186358174.49,76.3,High
2013,Italy,41.6519,10.7825,Flood,5.9,436,17503601.04,29.7,Low
2021,China,35.0927,102.2771,Earthquake,6.0,273,40785477.04,30.8,Low
2011,USA,36.4681,-97.455,Drought,6.7,241,7163181.54,29.9,Low
2010,Germany,50.3084,9.1699,Flood,6.9,1921,61185274.28,52.9,Medium
2020,Italy,41.6641,14.2285,Earthquake,6.3,727,134456066.68,45.9,Medium
2013,USA,38.5311,-97.2355,Drought,4.6,360,8840578.61,22.9,Low
2022,Japan,34.2139,136.3409,Earthquake,8.4,607,79453485.69,47.6,Medium
2014,India,19.5087,78.8025,Flood,4.8,662,10889753.81,26.9,Low
2011,China,36.3197,105.935,Tornado,5.1,44,1146367.32,21.0,Low
2023,USA,37.4811,-94.8969,Flood,7.3,1847,64189394.08,54.1,Medium
2013,Brazil,-13.2125,-50.8157,Flood,8.5,1159,59932332.22,51.6,Medium
2023,Philippines,12.1456,122.1617,Wildfire,6.4,359,39970371.64,33.2,Low
2011,Canada,56.215,-106.6858,Earthquake,7.9,655,121545511.83,50.3,Medium
2016,Italy,42.374,12.2688,Hurricane/Typhoon,8.9,2935,235623418.61,88.5,High
2014,UK,54.6449,-3.7647,Flood,5.7,2403,87248957.65,55.6,Medium
2017,Mexico,22.8329,-101.7197,Tornado,8.1,297,13293912.85,36.7,Low
2020,India,20.71,78.5137,Earthquake,7.2,130,24786727.23,32.6,Low
2023,Mexico,21.9999,-101.6517,Flood,5.2,361,19606964.35,26.4,Low
2015,Japan,37.2468,139.1472,Hurricane/Typhoon,6.9,1663,96772101.2,53.9,Medium
2012,Italy,40.7172,11.3201,Wildfire,8.4,540,61565881.02,45.2,Medium
2015,Philippines,13.6851,121.3565,Flood,5.4,1359,43664368.98,39.6,Low
2015,Brazil,-14.793,-52.8738,Hurricane/Typhoon,7.0,703,61982805.11,41.2,Medium
2013,Philippines,13.9165,121.0509,Flood,5.4,387,15601368.13,27.0,Low
2020,Japan,34.7837,137.2931,Drought,5.3,955,15188172.69,32.3,Low
2014,Japan,35.1201,138.5292,Flood,6.5,1582,42049091.88,46.0,Medium
2021,Mexico,25.496,-101.9832,Hurricane/Typhoon,5.7,1742,87371652.1,49.0,Medium
2020,Philippines,12.8233,123.4376,Hurricane/Typhoon,7.6,540,38575799.06,39.7,Low
2020,Mexico,21.9273,-101.278,Flood,4.0,763,40373772.85,27.7,Low
2011,Japan,37.0287,136.2866,Hurricane/Typhoon,6.5,2830,221486314.88,76.4,High
2019,Canada,57.781,-105.7029,Flood,6.4,1884,29264725.08,47.4,Medium
2020,Brazil,-15.131,-50.0101,Flood,7.7,1963,100657823.69,60.5,Medium
2012,Italy,40.2981,10.9453,Flood,4.9,2356,62101377.17,49.4,Medium
2018,India,21.7697,77.2761,Drought,4.8,598,17823187.06,27.0,Low
2021,Japan,36.9362,139.6415,Wildfire,8.9,82,4636692.9,36.9,Low
2013,India,20.8008,77.1845,Flood,4.8,2247,119180522.17,53.6,Medium
2012,China,35.1851,106.0993,Drought,6.6,187,2729326.7,28.5,Low
2017,Italy,42.6392,12.8271,Earthquake,9.2,750,143302632.91,58.6,Medium
2016,Italy,42.124,10.6916,Drought,4.3,524,11392138.37,23.6,Low
2014,Philippines,13.7208,121.3632,Flood,4.7,1184,47953558.61,35.4,Low
2020,Mexico,24.3381,-102.3878,Earthquake,8.6,755,126009219.45,54.6,Medium
2021,Germany,53.0573,8.6648,Hurricane/Typhoon,8.4,1695,129345661.18,63.5,Medium
2018,China,36.2424,106.0657,Earthquake,8.2,511,70963803.93,45.0,Medium
2013,India,22.3546,78.6874,Wildfire,8.0,137,14255085.41,34.8,Low
2020,Australia,-26.2842,132.064,Earthquake,7.3,699,68860745.58,43.1,Medium
2015,India,20.0328,77.3261,Drought,4.8,652,7853097.64,26.5,Low
2023,USA,36.8139,-95.4821,Hurricane/Typhoon,5.4,667,40843649.78,32.4,Low
2022,USA,37.4822,-96.4123,Earthquake,7.0,447,77554630.83,40.2,Medium
2022,Philippines,13.1081,123.7409,Flood,6.3,1759,39801910.64,46.8,Medium
2010,Japan,35.2736,136.8337,Flood,5.2,1427,52499913.82,40.3,Medium
2013,USA,36.0968,-96.7236,Hurricane/Typhoon,7.4,1100,74218867.77,48.0,Medium
2023,USA,35.1171,-96.1272,Tornado,5.7,178,8261580.8,25.4,Low
2010,India,21.8841,79.5641,Hurricane/Typhoon,6.2,2770,268237756.84,79.3,High
2022,Japan,35.4567,140.1083,Drought,4.2,1396,27668924.18,33.5,Low
2015,Brazil,-15.2603,-52.4158,Tornado,5.8,68,5162833.98,24.4,Low
2016,Japan,38.1891,136.9697,Wildfire,5.1,522,60556303.41,31.7,Low
2014,Japan,37.3907,139.5751,Flood,7.8,1875,84907489.42,58.4,Medium
2011,USA,36.3013,-96.6993,Flood,5.9,1744,31964783.84,44.2,Medium
2013,Canada,56.0469,-106.7368,Hurricane/Typhoon,8.7,2013,146181467.67,69.5,Medium
2019,UK,54.8081,-1.848,Hurricane/Typhoon,7.6,648,30172283.25,39.9,Low
2021,Japan,36.8588,136.9154,Hurricane/Typhoon,7.3,2942,237267339.06,82.3,High
2015,India,21.6007,80.8229,Hurricane/Typhoon,5.0,1359,72461968.03,40.8,Medium
2013,Philippines,13.102,122.5207,Flood,5.7,2096,104287319.37,54.2,Medium
2020,China,35.8619,103.5699,Flood,4.5,1903,107376088.99,47.8,Medium
2017,USA,38.4153,-94.7894,Earthquake,7.2,261,37201316.47,35.1,Low
2016,Australia,-26.8795,134.658,Hurricane/Typhoon,5.3,483,42799188.45,30.3,Low
2020,USA,38.4867,-95.1181,Wildfire,5.7,299,25749752.37,28.4,Low
2017,Brazil,-14.906,-52.2145,Hurricane/Typhoon,8.2,2879,147022199.64,76.3,High
2012,China,35.5885,102.3068,Hurricane/Typhoon,5.8,2725,179231889.52,68.4,Medium
2014,USA,35.9492,-96.5966,Wildfire,8.6,154,16318635.41,37.6,Low
2012,Brazil,-14.7668,-53.1317,Flood,7.0,2204,85398775.65,58.6,Medium
2013,China,36.2479,104.6352,Hurricane/Typhoon,6.4,2175,167565829.65,64.1,Medium
2021,Mexico,24.454,-103.3602,Hurricane/Typhoon,5.3,848,49854890.7,34.7,Low
2018,Japan,34.6678,137.7432,Flood,5.7,764,31221831.82,33.6,Low
2018,India,20.5367,79.1095,Drought,6.7,454,9578606.19,32.3,Low
2014,Germany,49.7212,9.7083,Hurricane/Typhoon,5.2,1770,171885615.14,55.7,Medium
2021,Germany,49.9405,9.9858,Hurricane/Typhoon,7.6,1975,160136555.46,66.2,Medium
2019,India,21.9496,78.9148,Flood,4.1,1103,31042882.66,30.5,Low
2016,Australia,-25.1196,132.4428,Hurricane/Typhoon,8.0,2328,169905753.46,72.3,High
2019,USA,35.5468,-94.6095,Tornado,5.7,397,8931162.64,27.7,Low
2016,Philippines,13.0554,123.7291,Flood,7.7,1213,34445442.22,46.4,Medium
2015,Canada,55.9289,-106.9457,Tornado,6.0,70,4657652.93,25.2,Low
2013,Japan,37.4428,138.6017,Earthquake,8.5,697,91571893.0,50.1,Medium
2012,China,36.9994,105.4441,Tornado,6.6,282,10395958.52,30.3,Low
2018,Brazil,-14.9354,-51.1038,Earthquake,6.9,576,114196951.45,44.8,Medium
2017,China,34.2409,106.0411,Wildfire,9.1,333,36860879.33,43.4,Medium
2011,USA,38.5543,-96.7113,Wildfire,8.7,452,38086474.09,43.1,Medium
2022,Brazil,-15.1551,-52.2631,Hurricane/Typhoon,7.5,681,43700482.6,41.2,Medium
2010,Philippines,13.6488,123.2793,Hurricane/Typhoon,7.0,2683,107718117.25,65.6,Medium
2023,UK,56.3009,-2.5063,Hurricane/Typhoon,7.7,1767,160808263.54,64.6,Medium
2011,UK,54.9609,-1.5575,Tornado,6.2,175,12197607.98,27.8,Low
2012,Australia,-24.9583,134.0346,Hurricane/Typhoon,6.4,498,21292774.62,32.7,Low
2020,China,37.2068,102.2551,Drought,3.6,1034,10353978.26,25.8,Low
2012,Canada,54.9393,-105.5856,Flood,6.9,851,46251042.93,40.7,Medium
2022,Italy,40.2434,12.0017,Flood,7.0,877,15198784.81,38.3,Low
2020,China,36.764,105.2109,Hurricane/Typhoon,5.4,689,27604907.79,31.3,Low
2016,Germany,49.6908,9.3548,Wildfire,5.0,401,42986250.39,28.3,Low
2019,Canada,55.8193,-107.8113,Flood,5.7,619,12159678.71,30.2,Low
2011,India,19.787,78.4909,Tornado,7.9,338,26896826.35,37.7,Low
2016,USA,37.212,-97.6761,Wildfire,7.0,268,25182781.52,33.2,Low
2016,Japan,35.8468,138.9963,Tornado,4.4,61,1732448.1,18.4,Low
2019,USA,38.01,-96.3039,Hurricane/Typhoon,8.2,1314,74396130.07,53.4,Medium
2017,USA,37.3036,-95.31,Hurricane/Typhoon,8.1,409,37167272.24,40.2,Medium
2018,China,35.0666,104.261,Hurricane/Typhoon,8.0,1510,118942981.58,59.0,Medium
2014,UK,56.5451,-4.4726,Earthquake,6.8,703,106343915.24,44.9,Medium
2018,Brazil,-12.3192,-49.9725,Drought,3.5,1264,23279430.15,29.0,Low
2023,Brazil,-15.5389,-52.0359,Drought,3.3,1302,14778548.1,27.7,Low
2010,Japan,34.3593,136.4919,Wildfire,7.3,563,58381805.13,40.7,Medium
2020,India,20.1991,79.5221,Hurricane/Typhoon,5.6,642,37617613.23,32.6,Low
2021,Germany,49.9728,11.6822,Hurricane/Typhoon,6.6,2898,248629411.92,80.2,High
2011,China,36.4326,103.4307,Hurricane/Typhoon,8.8,1277,55516753.43,53.5,Medium
2020,USA,36.8279,-95.8965,Hurricane/Typhoon,6.2,2995,252896274.99,80.0,High
2018,USA,37.9216,-94.904,Flood,8.3,2342,89640115.37,65.6,Medium
2022,Mexico,22.667,-103.0625,Wildfire,8.9,170,17680020.46,39.1,Low
2014,USA,38.3184,-96.6221,Flood,7.2,515,19223219.91,35.9,Low
2022,Germany,49.3818,11.8874,Flood,4.7,621,34305331.0,28.4,Low
